UPRN,Single_Line_Address,Postcode,Local_Authority_District,Longitude,Latitude,Planned,OCC Comment
10003997304,"THE TITHE BARN, BROUGHTON POGGS, FILKINS, LECHLADE, GL7 3JH",GL7 3JH,West_Oxfordshire,-1.6610186,51.7327709,No known plans,None
100120970083,"THE GRANARY, FILKINS, LECHLADE, GL7 3JJ",GL7 3JJ,West_Oxfordshire,-1.6559434,51.7375216,No known plans,None
10094867465,"ANNEXE AT, PROSPECT COTTAGE, STREET THROUGH FILKINS, FILKINS, LECHLADE, GL7 3JQ",GL7 3JQ,West_Oxfordshire,-1.6599648,51.7345938,No known plans,None
100120970078,"APSLEY COTTAGE, BURFORD ROAD, FILKINS, LECHLADE, GL7 3JW",GL7 3JW,West_Oxfordshire,-1.6536582,51.7428287,No known plans,None
100120970081,"GREY HOUSE, BURFORD ROAD, FILKINS, LECHLADE, GL7 3JW",GL7 3JW,West_Oxfordshire,-1.6535579,51.7426846,No known plans,None
10093354442,"ANNEXE, HARDYS BARN, LECHLADE ROAD, LANGFORD, GL7 3LF",GL7 3LF,West_Oxfordshire,-1.6430496,51.7225207,No known plans,None
10094866549,"STAFF ACCOMODATION AT, THE BELL INN, STREET THROUGH LANGFORD, LANGFORD, GL7 3LF",GL7 3LF,West_Oxfordshire,-1.6409747,51.7222185,No known plans,None
10096719632,"THE HIDEAWAY, KENMOR, BROADWELL ROAD, LANGFORD, GL7 3LP",GL7 3LP,West_Oxfordshire,-1.6435796,51.7241685,No known plans,None
10094869330,"THE COACHHOUSE, LOWER FARM BARN, STREET THROUGH LANGFORD, LANGFORD, GL7 3LQ",GL7 3LQ,West_Oxfordshire,-1.6381813,51.7203217,No known plans,None
10003997218,"CANFORD, LITTLE FARINGDON, LECHLADE, GL7 3QJ",GL7 3QJ,West_Oxfordshire,-1.6842727,51.7204364,No known plans,None
10002188836,"HULSE GROUND FARM, LITTLE FARINGDON, LECHLADE, GL7 3QR",GL7 3QR,West_Oxfordshire,-1.665484,51.7163024,No known plans,None
10094869477,"ANNEXE, FIELDSIDE HOUSE, ROAD THROUGH BROADWELL, BROADWELL, GL7 3QS",GL7 3QS,West_Oxfordshire,-1.6393907,51.730395,No known plans,None
10002188855,"BROADWELL HOUSE, BROADWELL, LECHLADE, GL7 3QS",GL7 3QS,West_Oxfordshire,-1.6351263,51.7347794,No known plans,None
10094866550,"STAFF ACCOMODATION AT, CHILLI PEPPER, ROAD THROUGH BROADWELL, BROADWELL, GL7 3QS",GL7 3QS,West_Oxfordshire,-1.6360439,51.7341168,No known plans,None
10094866490,"ANNEXE AT, DE ROUGEMONT, STREET THROUGH KENCOT, KENCOT, GL7 3QT",GL7 3QT,West_Oxfordshire,-1.6339445,51.7376619,No known plans,None
10096719352,"CARAVAN, ROSIE CLOSE, STREET THROUGH KENCOT, KENCOT, GL7 3QT",GL7 3QT,West_Oxfordshire,-1.6342541,51.7363488,No known plans,None
10094865664,"HOLIDAY ACCOMODATION EQUESTRIAN AND POLO FACILITIES, ASTHALL FARM, STREET THROUGH KENCOT, KENCOT, GL7 3QT",GL7 3QT,West_Oxfordshire,-1.6309998,51.7394607,No known plans,None
10094864965,"MALTHOUSE LIVERY, ASTHALL FARM, STREET THROUGH KENCOT, KENCOT, GL7 3QT",GL7 3QT,West_Oxfordshire,-1.6309938,51.7394563,No known plans,None
10094865031,"THE LOG CABIN, ASTHALL FARM, STREET THROUGH KENCOT, KENCOT, GL7 3QT",GL7 3QT,West_Oxfordshire,-1.6310045,51.7394637,No known plans,None
10093354443,"ANNEXE, THE GARDENS, STREET THROUGH KENCOT, KENCOT, GL7 3QU",GL7 3QU,West_Oxfordshire,-1.6315791,51.7402724,No known plans,None
10094864955,"ANNEXE AT, QUENTIN HOUSE, STREET THROUGH KENCOT, KENCOT, GL7 3QX",GL7 3QX,West_Oxfordshire,-1.6329664,51.7419729,No known plans,None
10094867472,"THE OLD LAUNDRY, KENCOT HOUSE, KENCOT, LECHLADE, GL7 3QX",GL7 3QX,West_Oxfordshire,-1.6315958,51.7424633,No known plans,None
10094868335,"OXLEAZE FARMHOUSE, OXLEAZE FARM, FILKINS, LECHLADE, GL7 3RB",GL7 3RB,West_Oxfordshire,-1.6847638,51.746191,No known plans,None
10003995459,"RICKETY ROSE CRAFTS, UNIT 6-8, OXLEAZE FARM, FILKINS, LECHLADE, GL7 3RB",GL7 3RB,West_Oxfordshire,-1.6850777,51.7462805,No known plans,None
10003995460,"UNIT 4, OXLEAZE FARM, LANE TO OXLEAZE FARM, FILKINS, LECHLADE, GL7 3RB",GL7 3RB,West_Oxfordshire,-1.68486,51.7463422,No known plans,None
10003998491,"UNIT 5, OXLEAZE FARM, LANE TO OXLEAZE FARM, FILKINS, LECHLADE, GL7 3RB",GL7 3RB,West_Oxfordshire,-1.6849471,51.7463154,No known plans,None
10094865620,"UNITS 11A AND 11B, OXLEAZE FARM, LANE TO OXLEAZE FARM, FILKINS, LECHLADE, GL7 3RB",GL7 3RB,West_Oxfordshire,-1.6839895,51.7468766,No known plans,None
10033006562,"REEDS FARM, STOKENCHURCH, HIGH WYCOMBE, HP14 3YE",HP14 3YE,South_Oxfordshire,-0.9247663,51.6585936,No known plans,None
10033005998,"UPPER VICARS FARM, STOKENCHURCH, HIGH WYCOMBE, HP14 3YL",HP14 3YL,South_Oxfordshire,-0.9455256,51.6586289,No known plans,None
10011906368,"CHILLING PLACE COTTAGE, BRILL, AYLESBURY, HP18 9UH",HP18 9UH,Cherwell,-1.0629279,51.8401015,No known plans,None
100121382386,"CHILLING PLACE FARM, BRILL, AYLESBURY, HP18 9UH",HP18 9UH,Cherwell,-1.0523844,51.8393359,No known plans,None
100120801437,"OAK LODGE STABLES, CHILLING PLACE FARM, BRILL, AYLESBURY, HP18 9UH",HP18 9UH,Cherwell,-1.0473294,51.8398684,No known plans,None
100120801438,"PARK COTTAGE, CHILLING PLACE FARM, BRILL, AYLESBURY, HP18 9UH",HP18 9UH,Cherwell,-1.0478365,51.8399085,No known plans,None
10011918477,"THE FARMHOUSE, CHILLING PLACE FARM, BRILL, AYLESBURY, HP18 9UH",HP18 9UH,Cherwell,-1.0522026,51.839394,No known plans,None
10011921020,"THE MANOR, CHILLING PLACE FARM, BRILL, AYLESBURY, HP18 9UH",HP18 9UH,Cherwell,-1.062876,51.8404194,No known plans,None
100121301069,"BURWOOD, MENMARSH ROAD, WORMINGHALL, AYLESBURY, HP18 9UP",HP18 9UP,South_Oxfordshire,-1.1111072,51.7838567,No known plans,None
100121301070,"MARHABA, MENMARSH ROAD, WORMINGHALL, AYLESBURY, HP18 9UP",HP18 9UP,South_Oxfordshire,-1.1095105,51.7832242,No known plans,None
